numero;nombre;longitud;latitud
336;PASEO DE LA CARIDAD, 5;-2.4667394;36.8465673
337;CALLE LARGO CABALLERO, 40;-2.4679617;36.8471517
338;CALLE LARGO CABALLERO, 84;-2.470115;36.8485712
339;RESIDENCIA BALLESOL;-2.4694599;36.8517861
340;CEP;-2.4663565;36.8512264
341;IES AL ÁNDALUS;-2.4647961;36.850379
342;DELEGACION DE EDUCACION;-2.4625675;36.8490182
343;CEP;-2.4646201;36.8505671
344;RESIDENCIA BALLESOL;-2.4694599;36.8517861
345;CALLE FERNANDO DE ROJAS  COLEGIO;-2.470805;36.8486415
346;CALLE GENOVESES, 29;-2.4694986;36.8471513
347;RAMBLA BELÉN - ALFARERIAS;-2.4619676;36.8484113
363;CALLE REGALÍZ GAYUBA;-2.4430007;36.8337352
364;CALLE ALGAZUL;-2.4399153;36.8359938
367;ÁRBOL DE LA SEDA;-2.434806;36.837078
368;PALACIO DE DEPORTES;-2.437869;36.837443
391;CALLE ITALIA, 6;-2.450492;36.851181
392;PARQUE CALLE ITALIA;-2.4500228;36.8513684
393;CALLE ITALIA  TITO PEDRO;-2.447678;36.851535
394;CALLE ITALIA, 11;-2.44724;36.8516286
396;AV. MEDITERRANEO, 454;-2.4458135;36.8552193
398;AV. SANTA ISABEL, 26;-2.4551311;36.8467426
399;AV. SANTA ISABEL, 58;-2.4544191;36.8479224
402;AV. MEDITERRÁNEO, 456;-2.4455019;36.8576184
403;COLEGIO ALMERÍA NORTE;-2.445896;36.856948
404;PASEO DE ALMERÍA, 40;-2.463486;36.838489
406;PUERTA DEL MAR;-2.466833;36.835569
407;PASEO SAN LUÍS, 7;-2.469059;36.836832
408;CALLE LA REINA, 17;-2.468861;36.839047
409;ALCAZABA;-2.470025;36.83997
410;CALLE REDUCTO, 8;-2.472734;36.839919
411;CALLE REDUCTO, 92;-2.474788;36.84046
412;LA CURVA;-2.472943;36.837802
413;CALLE NICOLÁS SALMERÓN, 40;-2.470787;36.837154
414;CALLE NICOLÁS SALMERÓN, 20;-2.467316;36.835986
415;CALLE NICOLÁS SALMERÓN, 8;-2.464736;36.834638
416;CALLE REGALIZ, 33;-2.4437448;36.8324927
417;CALLE BELLADONA;-2.437869;36.837186
418;CALLE ALGAZUL;-2.440554;36.8356773
419;FEDERICO GARCÍA LORCA, 47;-2.46015;36.839096
420;FEDERICO GARCÍA LORCA, 9;-2.462301;36.835885
421;AVENIDA DE LA CRUZ, 24;-2.457567;36.851745
422;AVENIDA DE LA CRUZ, 84;-2.460086;36.850872
460;CANONIGO MOLINA ALONSO;-2.462084078;36.83484779
440;ARQUÍMEDES;-2.47492;36.840056
401;CARRETERA DE RONDA 78;-2.4557423;36.8374888
397;FRAY JUAN DE PORTOCARRERO, 26;-2.4442658;36.8568487
441;AVENIDA DE LA TOLERANCIA;-2.4339454;36.8464218
442;AVENIDA DE LA TOLERANCIA - PARQUE;-2.4331155;36.8446554
432;ANTONIO MUÑOZ ZAMORA;-2.4396544;36.8324085
433;AVENIDA VEGA DE ACÁ;-2.4383768;36.8342316
434;CAMINO DE LA GOLETA;-2.4356278;36.8360084
436;ARBOL DE LA SEDA;-2.4345437;36.8365726
437;AVENIDA VEGA DE ACÁ;-2.4383526;36.8338814
438;ANTONIO MUÑOZ ZAMORA;-2.4396544;36.8324085
